code,link,name,level
06_Func_11,https://drive.google.com/file/d/18WhSghzPMPQRwFrjsYxGYeNEnU8G9dYB/view?usp=drive_link,Binary Adder,1.0
06_Func_12,https://drive.google.com/file/d/18Vp0BbeYQX3qrRoR6hXtGh6f33BnsPyy/view?usp=drive_link,Next Prime,1.5
06_Func_21,https://drive.google.com/file/d/1MF_AAjBOT99rBndyP_Sw9rreKERif-pu/view?usp=drive_link,Function Call,2.0
06_Func_22,https://drive.google.com/file/d/1hyLbfJSTS2WVGAEz5inzI9nciJeG0-AS/view?usp=drive_link,Distance,2.0
06_Func_23,https://drive.google.com/file/d/1s5E2eHburs33GwzIYKRjqBcq_xrRqalX/view?usp=drive_link,Four Functions,2.0
06_Func_31,https://drive.google.com/file/d/1yK3lFBuwrkSOb2MPvWpcM-YZeyNO-9IC/view?usp=drive_link,Refactor,3.0
